Waiting...
[(b6,79)]
[(q6,70)]
[(x8,25)]
Waiting...
(a4,73)
(a0,55)
(a9,40)
(a8,34)
(a6,52)
(a3,16)
(a1,58)
(a7,0)
(b1,96)
(b7,55)
(b3,11)
(b9,57)
(b6,79)
(b5,26)
(chave2,valor-exemplo2)
(c7,74)
(c0,62)
(c3,13)
(c2,80)
(c8,23)
(c5,0)
(c6,48)
(c4,9)
(d4,25)
(d6,13)
(d2,73)
(d3,62)
(d8,49)
(d5,87)
(e5,45)
(e4,80)
(e0,19)
(e8,72)
(e2,99)
(e3,70)
(e7,62)
(e6,95)
(e1,83)
(e9,43)
(f0,73)
(f8,52)
(f6,3)
(f4,79)
(f7,92)
(f3,92)
(f5,46)
(f2,99)
(g3,5)
(g4,61)
(g5,7)
(g0,0)
(g6,35)
(g1,82)
(g2,71)
(g8,44)
(h1,37)
(h8,67)
(h3,83)
(h2,61)
(h4,9)
(h0,16)
(h5,71)
(h6,57)
(h9,61)
(i0,44)
(i6,7)
(i5,4)
(i2,40)
(i3,21)
(i7,51)
(i1,31)
(i9,21)
(i4,67)
(j9,31)
(j7,79)
(j8,15)
(j4,85)
(j3,20)
(j5,5)
(j6,16)
(j2,30)
(j1,10)
(k1,9)
(k4,28)
(k5,3)
(k7,97)
(k6,71)
(k0,9)
(k2,24)
(k9,18)
(k8,16)
(l4,36)
(l8,67)
(l2,89)
(l1,9)
(l7,27)
(l3,69)
(l6,100)
(l5,7)
(l9,79)
(l0,22)
(m6,17)
(m0,41)
(m3,29)
(m9,76)
(m8,8)
(m7,40)
(m5,99)
(m2,95)
(n6,54)
(n3,92)
(n4,92)
(n8,95)
(n9,7)
(n5,88)
(o1,1)
(o2,96)
(o0,50)
(o4,38)
(o5,26)
(o9,30)
(o3,84)
(o6,66)
(p0,71)
(p2,78)
(p7,28)
(p3,18)
(p8,4)
(p4,2)
(p9,75)
(p6,77)
(p5,96)
(q6,70)
(q0,3)
(q2,6)
(q9,34)
(q7,5)
(q8,44)
(q5,93)
(q4,84)
(q1,68)
(r0,40)
(r6,83)
(r2,89)
(r9,27)
(r7,31)
(r4,6)
(r5,58)
(r8,90)
(r1,30)
(s6,33)
(s5,1)
(s2,43)
(s7,29)
(s4,81)
(s3,84)
(s1,6)
(s8,85)
(t5,55)
(t9,1)
(t4,3)
(t7,42)
(t0,75)
(t2,16)
(t1,26)
(t6,64)
(u2,53)
(u7,78)
(u8,88)
(umaChave,umValor)
(u0,50)
(u9,84)
(u5,62)
(u3,98)
(u6,19)
(u4,59)
