[(d5,30)]
(a7,97)
(a4,42)
(a6,39)
(a5,75)
(a3,36)
(a2,84)
(a1,37)
(b8,85)
(b9,99)
(b3,34)
(b5,36)
(b0,82)
(b2,41)
(b7,50)
(c6,5)
(c3,98)
(c1,44)
(c5,71)
(c9,73)
(c4,8)
(d5,30)
(d1,18)
(d8,19)
(d0,0)
(d7,54)
(d3,41)
(d2,55)
(d9,75)
(d4,28)
(e0,13)
(e4,5)
(e2,66)
(e8,54)
(e3,51)
(e1,37)
(e7,59)
(e9,68)
(e5,41)
(f0,3)
(f2,77)
(f4,34)
(f9,81)
(f5,16)
(f7,7)
(f3,79)
(f1,92)
(g8,0)
(g0,59)
(g5,0)
(g6,33)
(g1,90)
(g7,47)
(g9,80)
(g4,48)
(g3,0)
(h5,53)
(h2,93)
(h8,5)
(h3,20)
(h0,24)
(h1,85)
(h7,31)
(h6,40)
(i3,5)
(i6,74)
(i5,84)
(i4,55)
(i0,19)
(i7,3)
(i8,62)
(i9,84)
(j1,22)
(j6,88)
(j7,50)
(j8,45)
(j0,86)
(j2,30)
(j5,62)
(k9,85)
(k1,98)
(k3,8)
(k6,49)
(k5,66)
(k8,96)
(k2,21)
(l2,46)
(l4,79)
(l6,3)
(l0,12)
(l7,6)
(l3,20)
(l9,16)
(l5,11)
(m0,34)
(m3,61)
(m9,7)
(m4,40)
(m6,13)
(m8,92)
(m5,100)
(m2,37)
(n1,61)
(n3,89)
(n6,41)
(n2,12)
(n5,20)
(n9,59)
(n4,23)
(n0,42)
(n7,91)
(o5,100)
(o9,96)
(o2,14)
(o6,1)
(o0,71)
(o3,29)
(o7,6)
(o4,19)
(o1,5)
(o8,20)
(p0,80)
(p9,18)
(p2,69)
(p4,92)
(p5,20)
(p3,73)
(p6,25)
(p8,34)
(q8,6)
(q7,90)
(q3,21)
(q1,53)
(q0,15)
(q5,100)
(q2,31)
(q6,88)
(q4,71)
(r3,47)
(r9,83)
(r4,12)
(r6,99)
(r2,0)
(r7,33)
(r0,6)
(s4,90)
(s0,77)
(s2,92)
(s6,3)
(s7,3)
(s5,3)
(t2,42)
(t7,98)
(t5,26)
(t4,55)
(t6,85)
(t8,91)
(u8,86)
(u6,20)
(u9,53)
(u7,32)
(u0,69)
(u1,61)
(u4,18)
(u5,57)
(u2,1)
(v8,3)
(v0,3)
(v7,73)
(v4,39)
(v6,4)
(v9,50)
(v1,13)
(w9,22)
(w1,13)
(w3,34)
(w8,7)
(w5,13)
(w4,88)
(w6,10)
(w7,21)
(w2,69)
(x1,81)
(x4,75)
(x9,86)
(x3,2)
(y7,36)
(y8,22)
(y9,82)
(y2,0)
(y4,51)
(y0,50)
(y3,29)
(y1,65)
(y6,53)
(z1,35)
(z9,98)
(z7,70)
(z8,97)
(z6,52)
(z2,72)
(z0,96)
[(o3,67)]
[(d7,83)]
[(j6,27)]
(a7,97)
(a4,42)
(a6,39)
(a5,75)
(a3,36)
(a2,84)
(a1,37)
(b8,85)
(b9,99)
(b3,34)
(b5,36)
(b0,82)
(b7,50)
(c6,5)
(c3,98)
(c1,44)
(c5,71)
(c9,73)
(c4,7)
(d1,18)
(d8,19)
(d0,0)
(d3,41)
(d2,55)
(d9,75)
(d4,28)
(e0,13)
(e4,5)
(e2,66)
(e8,54)
(e3,51)
(e1,37)
(e7,59)
(e9,68)
(e5,41)
(f6,5)
(f0,3)
(f2,77)
(f4,34)
(f9,81)
(f5,16)
(f7,7)
(f3,79)
(f1,92)
(g2,0)
(g8,0)
(g0,59)
(g5,0)
(g6,33)
(g1,90)
(g7,47)
(g9,80)
(g4,48)
(g3,0)
(h5,53)
(h2,93)
(h8,5)
(h3,20)
(h0,24)
(h1,85)
(h7,31)
(h6,40)
(i3,5)
(i6,74)
(i5,84)
(i4,55)
(i0,19)
(i7,3)
(i8,62)
(i9,84)
(j1,22)
(j6,27)
(j7,50)
(j8,45)
(j0,86)
(j2,30)
(j5,62)
(k0,70)
(k9,85)
(k1,98)
(k3,8)
(k6,49)
(k5,66)
(k8,96)
(k2,21)
(l2,46)
(l4,79)
(l6,3)
(l0,12)
(l7,6)
(l3,20)
(l9,16)
(l5,11)
(m0,34)
(m3,61)
(m9,7)
(m4,40)
(m6,13)
(m8,92)
(m5,100)
(m2,37)
(n1,61)
(n3,79)
(n6,41)
(n2,12)
(n5,20)
(n9,59)
(n4,23)
(n0,42)
(n7,91)
(o5,7)
(o9,96)
(o2,14)
(o6,10)
(o0,71)
(o7,6)
(o4,19)
(o1,5)
(o8,20)
(p0,45)
(p9,18)
(p2,69)
(p4,92)
(p5,20)
(p3,73)
(p6,25)
(p8,34)
(q8,59)
(q7,90)
(q3,21)
(q1,53)
(q0,15)
(q5,100)
(q2,31)
(q6,88)
(r8,60)
(r3,47)
(r9,83)
(r4,12)
(r6,99)
(r2,0)
(r7,33)
(r0,6)
(s4,90)
(s0,77)
(s2,92)
(s6,3)
(s7,3)
(s5,3)
(t2,42)
(t7,98)
(t5,26)
(t4,55)
(t6,85)
(t8,91)
(u8,86)
(u6,20)
(u9,53)
(u7,32)
(u0,69)
(u1,61)
(u4,60)
(u5,57)
(u2,1)
(v8,3)
(v0,3)
(v7,73)
