[(o4,68)]
[(i1,100)]
[(l2,80)]
(a9,89)
(a1,62)
(a4,57)
(a6,97)
(a7,71)
(a2,95)
(a0,71)
(a3,85)
(b1,23)
(b8,23)
(b0,16)
(b6,77)
(b4,2)
(b5,11)
(b9,22)
(b7,88)
(c0,79)
(c1,80)
(c7,69)
(c6,95)
(c2,74)
(c9,67)
(d5,9)
(d7,48)
(d3,39)
(d6,46)
(d2,57)
(d1,2)
(d0,21)
(d9,58)
(e5,47)
(e6,50)
(e4,49)
(e9,4)
(e0,89)
(e8,23)
(e3,42)
(f9,85)
(f1,80)
(f4,87)
(f8,21)
(f3,83)
(f0,43)
(f6,67)
(f2,35)
(f7,11)
(g1,48)
(g6,47)
(g2,94)
(g8,42)
(g0,18)
(g5,56)
(g9,34)
(g4,99)
(g3,37)
(h8,34)
(h0,1)
(h4,48)
(h9,27)
(h5,80)
(h2,89)
(h3,38)
(h1,61)
(h7,93)
(h6,43)
(i1,100)
(i2,27)
(i3,31)
(i5,40)
(i6,96)
(i9,44)
(i0,13)
(i8,67)
(j4,10)
(j7,78)
(j1,81)
(j9,32)
(j3,52)
(j6,41)
(j2,42)
(j5,53)
(k7,54)
(k4,52)
(k2,65)
(k8,39)
(k9,72)
(l7,51)
(l0,14)
(l6,63)
(l8,44)
(l2,80)
(l1,6)
(l4,8)
(l9,10)
(l5,97)
(m3,82)
(m2,53)
(m5,25)
(m1,66)
(m9,11)
(m4,62)
(m6,46)
(m8,9)
(n1,98)
(n7,3)
(n2,71)
(n3,62)
(n4,49)
(n9,65)
(n5,80)
(n8,16)
(n6,45)
(n0,58)
(o0,95)
(o5,50)
(o3,61)
(o8,40)
(o1,21)
(o9,74)
(o2,20)
(o7,66)
(p0,3)
(p5,14)
(p4,10)
(p2,76)
(p1,0)
(p7,10)
(p3,32)
(p9,44)
(p8,81)
(q6,63)
(q7,40)
(q0,81)
(q3,30)
(q2,61)
(q9,67)
(q4,18)
(q8,45)
(q5,67)
(r4,55)
(r6,40)
(r9,8)
(r5,24)
(r8,38)
(r3,66)
(r2,6)
(r7,64)
(r0,35)
(s1,59)
(s0,58)
(s8,99)
(s2,73)
(s4,44)
(s6,47)
(s7,4)
(t6,11)
(t2,67)
(t4,11)
(t0,100)
(t3,77)
(t9,75)
(t1,95)
(t8,24)
(u6,4)
(u2,95)
(u9,41)
(u0,73)
(u7,17)
(u8,83)
(u1,57)
(u4,96)
(u5,9)
(v8,30)
(v2,99)
(v6,74)
(v7,100)
(v5,90)
(v4,69)
(v1,26)
(v3,45)
(v0,4)
(w0,47)
(w5,42)
(w3,45)
(w6,36)
(w9,35)
(w7,10)
(w1,79)
(w8,83)
(x4,89)
(x7,44)
(x1,10)
(x2,6)
(x0,62)
(x6,67)
(x9,86)
(x3,24)
(y9,2)
(y6,69)
(y8,32)
(y5,77)
(y7,60)
(y2,7)
(y4,61)
(y0,57)
(y3,44)
(z4,61)
(z2,29)
(z6,22)
(z5,92)
(z3,74)
(z9,49)
(z7,33)
(z0,96)
[(l9,10)]
Waiting...
[(l2,80)]
[(q0,44)]
(a9,89)
(a1,62)
(a4,57)
(a6,97)
(a7,71)
(a2,95)
(a0,71)
(a3,93)
(b1,23)
(b8,91)
(b0,16)
(b6,77)
(b4,2)
(b5,11)
(b9,22)
(b7,88)
(c0,79)
(c1,80)
(c7,69)
(c6,95)
(c2,74)
(c9,67)
(d5,9)
(d7,48)
(d3,39)
(d6,46)
(d2,57)
(d1,2)
(d0,21)
(d9,58)
(e5,47)
(e6,50)
(e4,49)
(e9,4)
(e0,89)
(e8,23)
(e3,42)
(f9,85)
(f1,80)
(f4,87)
(f8,21)
(f3,83)
(f0,43)
(f6,67)
(f2,35)
(f7,11)
(g1,48)
(g6,47)
(g2,94)
(g8,42)
(g0,18)
(g5,56)
(g9,14)
(g4,99)
(g3,37)
(h8,34)
(h0,1)
(h4,62)
(h9,27)
(h5,80)
(h2,89)
(h3,38)
(h1,61)
(h7,93)
(h6,43)
(i1,100)
(i2,27)
(i3,31)
(i5,40)
(i6,26)
(i9,44)
(i0,13)
(i8,67)
(j4,10)
(j7,78)
(j1,81)
(j9,32)
(j3,52)
(j6,41)
(j2,42)
(j5,53)
(k7,54)
(k4,52)
(k2,65)
(k8,39)
(k9,72)
(l7,51)
(l0,14)
(l6,63)
(l8,44)
(l2,80)
(l1,6)
(l4,8)
(l5,97)
(m3,82)
(m2,53)
(m5,95)
(m1,66)
(m9,11)
(m4,62)
(m6,46)
(m8,9)
(n1,98)
(n7,3)
(n2,71)
(n3,62)
(n4,49)
(n9,65)
(n5,80)
(n8,16)
(n6,45)
(n0,58)
