[(b2,71)]
(a7,63)
(a6,10)
(a9,12)
(a2,95)
(a8,73)
(a5,63)
(a0,63)
(a3,8)
(a1,81)
(b6,26)
(b2,71)
(b4,2)
(b5,78)
(b9,25)
(b3,84)
(b0,46)
(b7,32)
(c2,15)
(c7,79)
(c1,63)
(c5,95)
(c9,33)
(c4,7)
(d6,99)
(d3,83)
(d5,34)
(d1,60)
(d8,27)
(d0,0)
(d2,55)
(d9,86)
(e6,47)
(e1,50)
(e0,86)
(e4,47)
(e8,54)
(e3,13)
(e5,41)
(f0,30)
(f6,100)
(f2,43)
(f7,22)
(f1,13)
(g1,61)
(g2,36)
(g6,37)
(g8,69)
(g0,67)
(g5,78)
(g7,35)
(g9,29)
(g4,48)
(g3,60)
(h8,34)
(h4,89)
(h9,27)
(h5,78)
(h2,97)
(h3,45)
(h1,49)
(h7,61)
(h6,28)
(i1,0)
(i5,98)
(i3,77)
(i6,74)
(i4,55)
(i0,13)
(i7,3)
(i8,62)
(j9,97)
(j0,9)
(j3,12)
(j6,27)
(j7,85)
(j2,30)
(j5,62)
(k8,10)
(k4,34)
(k9,60)
(k1,44)
(k6,16)
(k5,47)
(k2,8)
(l1,98)
(l0,46)
(l4,74)
(l6,90)
(l7,6)
(l3,76)
(l9,96)
(l5,88)
(m1,83)
(m9,15)
(m3,34)
(m0,34)
(m4,10)
(m6,9)
(m8,11)
(m2,62)
(n3,1)
(n9,29)
(n1,28)
(n5,52)
(n8,7)
(n6,88)
(n4,85)
(n0,43)
(n7,60)
(o0,33)
(o1,31)
(o6,12)
(o9,96)
(o2,84)
(o7,0)
(o4,19)
(o8,92)
(p6,47)
(p3,13)
(p0,10)
(p9,18)
(p5,63)
(p8,34)
(q4,98)
(q8,1)
(q7,30)
(q3,0)
(q1,47)
(q0,55)
(q5,90)
(q2,31)
(r5,76)
(r1,80)
(r8,49)
(r3,37)
(r9,40)
(r4,12)
(r2,22)
(r7,33)
(r0,48)
(s3,70)
(s1,56)
(s4,60)
(s0,14)
(s6,82)
(s7,4)
(s5,20)
(t4,70)
(t2,1)
(t0,26)
(t3,60)
(t9,85)
(t1,44)
(t5,86)
(t6,85)
(t8,86)
(u9,36)
(u0,22)
(u2,64)
(u7,21)
