[(g9,35)]
Waiting...
[(v4,14)]
[(i6,1)]
[(e3,36)]
(a0,60)
(a7,72)
(a3,43)
(a4,80)
(a9,76)
(a6,28)
(a5,66)
(a2,58)
(a1,62)
(b1,36)
(b6,92)
(b5,32)
(b0,89)
(b4,53)
(b8,88)
(b2,88)
(b7,50)
(c1,36)
(c5,17)
(c7,100)
(c9,73)
(c4,23)
(c6,58)
(c2,95)
(c0,52)
(c8,14)
(d6,29)
(d2,41)
(d0,42)
(d9,75)
(d8,53)
(d4,54)
(d5,55)
(e3,36)
(e9,63)
(e5,15)
(e0,75)
(e4,54)
(e8,56)
(f9,7)
(f4,35)
(f0,95)
(f5,16)
(f7,7)
(f8,71)
(f2,49)
(f3,57)
(f1,58)
(g8,51)
(g7,74)
(g6,33)
(g9,35)
(g2,61)
(g4,33)
(g3,44)
(h1,79)
(h2,32)
(h8,78)
(h7,31)
(h6,27)
(i9,55)
(i2,23)
(i5,0)
(i7,20)
(i6,1)
(i3,12)
(j0,59)
(j7,4)
(j3,51)
(j2,64)
(j6,100)
(j5,11)
(j9,71)
(j4,42)
(k5,98)
(k8,6)
(k1,89)
(k2,48)
(k7,41)
(k4,73)
(k9,74)
(l3,27)
(l2,70)
(l9,48)
(l1,72)
(l5,28)
(l4,83)
(l0,72)
(m1,17)
(m7,25)
(m3,85)
(m9,73)
(m8,42)
(m5,5)
(m2,0)
(m4,43)
(m0,51)
(n9,16)
(n2,24)
(n4,69)
(n5,83)
(n0,60)
(n3,15)
(n7,70)
(n6,19)
(o5,41)
(o0,9)
(o1,56)
(o4,9)
(o8,29)
(p9,69)
(p3,58)
(p4,9)
(p7,1)
(p5,15)
(p6,48)
(p1,7)
(p0,30)
(p8,33)
(q2,31)
(q3,100)
(q0,44)
(q6,90)
(q7,54)
(q8,29)
(q4,98)
(q1,25)
(r2,66)
(r1,6)
(r7,43)
(r0,24)
(r8,65)
(r6,88)
(s7,49)
(s8,56)
(s5,56)
(s2,13)
(s9,87)
(s3,47)
(s1,27)
(s0,37)
(t2,24)
(t5,36)
(t1,46)
(t4,64)
(t3,62)
(t6,29)
(t8,78)
(u9,89)
(u0,100)
(u1,100)
(u4,74)
(u5,7)
(u2,7)
(u7,55)
(u3,83)
(v2,66)
(v6,30)
(v9,25)
(v0,3)
(v5,16)
(v4,14)
(v1,41)
(v8,57)
(v3,42)
(w1,59)
(w5,14)
(w4,37)
(w6,10)
(w7,87)
(w3,11)
(w2,77)
(w0,38)
(x9,99)
(x7,10)
(x5,30)
(x0,96)
(x6,1)
(x2,45)
(x4,39)
(x3,96)
(x1,1)
(y3,47)
(y7,56)
(y1,60)
(y6,35)
(y2,23)
(y8,90)
(y4,97)
(y5,24)
(z7,41)
(z4,3)
(z8,26)
(z5,22)
(z9,2)
(z1,82)
(z0,45)
Waiting...
[(s3,47)]
Waiting...
[(c1,36)]
[(b1,36)]
[(a0,60)]
Waiting...
[(n2,98)]
[(d2,37)]
Waiting...
[(z8,93)]
