[(u2,78)]
Waiting...
[(h6,66)]
[(h7,71)]
Waiting...
[(m4,14)]
[(m4,14)]
[(c8,37)]
Waiting...
[(n0,15)]
[(h6,55)]
[(e3,48)]
[(d4,48)]
[(e5,25)]
[(p1,76)]
(a3,3)
(a5,81)
(a6,65)
(a9,1)
(a2,35)
(a0,33)
(a4,85)
(a7,13)
(b6,56)
(b7,78)
(b8,5)
(b5,73)
(b4,82)
(b9,82)
(b0,46)
(b1,7)
(c0,52)
(c6,45)
(c9,71)
(c4,50)
(c2,62)
(c3,35)
(c1,4)
(c5,86)
(c7,45)
(d4,48)
(d6,72)
(d5,11)
(d7,91)
(d2,58)
(d3,54)
(d8,78)
(d0,40)
(e5,25)
(e3,48)
(e7,55)
(e8,92)
(e4,74)
(e2,79)
(e0,45)
(e6,83)
(f6,62)
(f8,25)
(f9,78)
(f2,43)
(f0,27)
(f4,14)
(f3,30)
(g2,71)
(g0,85)
(g6,13)
(g8,61)
(g4,17)
(g9,54)
(g5,72)
(g7,78)
(g3,46)
(h6,55)
(h9,27)
(h2,29)
(h3,75)
(h7,71)
(h5,23)
(h0,93)
(h1,36)
(i3,95)
(i7,50)
(i2,52)
(i6,41)
(i8,84)
(i1,70)
(i0,32)
(j3,26)
(j8,81)
(j1,9)
(j2,83)
(j9,54)
(j5,32)
(j0,65)
(j4,81)
(k6,3)
(k0,71)
(k2,23)
(k9,59)
(l9,94)
(l5,98)
(l1,8)
(l3,56)
(l6,31)
(l0,78)
(l2,7)
(m4,14)
(m0,38)
(m2,64)
(m9,83)
(m8,8)
(m7,44)
(m3,83)
(n1,40)
(n6,96)
(n9,8)
(n8,88)
(n0,15)
(n2,40)
(n7,8)
(o4,38)
(o9,91)
(o3,1)
(o0,4)
(o8,73)
(o6,64)
(o7,66)
(o5,23)
(p1,76)
(p3,90)
(p5,76)
(p9,84)
(p4,85)
(p7,37)
(p6,37)
(p8,73)
(q8,8)
(q7,48)
(q4,22)
(q5,20)
(q6,43)
(q2,10)
(q3,86)
(r5,68)
(r9,46)
(r8,3)
(r4,74)
(r7,55)
(r1,44)
(r6,26)
(r0,14)
(s4,73)
(s2,82)
(s5,75)
(s3,82)
(s1,45)
(s9,94)
(s8,34)
(s6,61)
(s7,19)
(t1,39)
(t6,93)
(t4,34)
