[(q8,99)]
(b7,77)
(c9,78)
(c1,29)
(d8,98)
(e7,46)
(f0,2)
(h0,89)
(i3,83)
(i7,39)
(i5,12)
(k5,85)
(n0,68)
(q8,99)
(q7,36)
(r1,59)
(r8,56)
(t0,42)
(u1,30)
(x0,28)
(x3,64)
(z7,70)
[(i3,83)]
(b2,92)
(b7,77)
(c9,78)
(c1,29)
(e7,46)
(f9,6)
(f7,2)
(f8,35)
(f0,2)
(g5,26)
(g7,6)
(h3,34)
(h0,89)
(i1,9)
(i3,83)
(i5,12)
(k3,10)
(k5,85)
(l2,65)
(m0,79)
(n0,68)
(o2,56)
(q8,99)
(q7,36)
(r1,59)
(s3,44)
(t2,17)
(t1,18)
(t0,42)
(u1,30)
(v9,71)
(v6,18)
(v2,3)
(w4,33)
(w0,89)
(y6,40)
(z5,58)
(z7,70)
[(d6,29)]
[(g7,6)]
