[(z9,49)]
[(i4,5)]
(a4,57)
(a6,97)
(a7,71)
(a2,95)
(a8,3)
(a5,63)
(a0,71)
(a3,85)
(b8,23)
(b0,16)
(b6,77)
(b4,2)
(b5,11)
(b9,20)
(b7,88)
(c7,69)
(c6,95)
(c2,30)
(c9,67)
(d3,7)
(d6,50)
(d2,18)
(d4,23)
(d1,2)
(d0,60)
(d9,86)
(e4,49)
(e2,18)
(e9,4)
(e6,32)
(e0,86)
(e8,23)
(e3,42)
(e5,41)
(f9,46)
(f1,88)
(f4,95)
(f8,6)
(f3,83)
(f0,19)
(f6,67)
(f2,35)
(f7,22)
(g1,24)
(g6,45)
(g2,11)
(g8,28)
(g0,18)
(g5,56)
(g9,34)
(g4,99)
(g3,2)
(h8,77)
(h0,1)
(h4,48)
(h9,27)
(h5,19)
(h2,89)
(h3,31)
(h1,82)
(h7,51)
(h6,46)
(i3,35)
(i5,40)
(i6,96)
(i9,44)
(i4,5)
(i0,13)
(i8,15)
(j4,10)
(j7,52)
(j1,84)
(j9,32)
(j3,52)
(j6,41)
(j2,96)
(j5,62)
(k7,54)
(k4,52)
(k2,89)
(k8,27)
(k9,72)
(l6,98)
(l8,44)
(l2,91)
(l1,98)
(l4,8)
(l9,73)
(l5,66)
(m2,24)
(m5,85)
(m1,52)
(m9,11)
(m4,96)
(m6,46)
(m8,5)
(n1,28)
(n7,31)
(n2,71)
(n3,62)
(n4,49)
(n9,65)
(n5,80)
(n8,16)
(n6,45)
(n0,58)
(o5,74)
(o3,61)
(o8,40)
(o1,2)
(o9,74)
(o2,19)
(o7,66)
(o4,19)
(p4,89)
(p2,43)
(p1,25)
(p7,10)
(p3,32)
(p9,82)
(p8,2)
(q7,40)
(q0,81)
(q3,30)
(q2,82)
(q9,56)
(q4,18)
(q8,53)
(q5,67)
(r6,40)
(r9,93)
(r5,24)
(r8,49)
(r3,66)
(r2,6)
(r7,64)
(r0,35)
(s3,31)
(s0,59)
(s8,99)
(s2,73)
(s4,90)
(s6,47)
(s7,4)
(s5,5)
(t7,78)
(t2,67)
(t4,35)
(t0,100)
(t3,60)
(t9,75)
(t1,95)
(t8,13)
(u9,41)
(u0,15)
(u7,17)
(u8,83)
(u1,71)
(u4,96)
(u5,9)
(v5,90)
(v4,71)
(v1,35)
(v3,81)
(v0,7)
(w6,89)
(w9,99)
(w7,53)
(w1,63)
(w8,83)
(w4,25)
(x7,44)
(x1,10)
(x2,6)
(x8,92)
(x0,23)
(x6,67)
(x9,86)
(x3,20)
(y6,69)
(y8,98)
(y5,17)
(y1,77)
(y7,70)
(y2,7)
(y4,61)
(y0,28)
(y3,44)
(z4,61)
(z2,29)
(z6,22)
(z5,92)
(z3,74)
(z1,10)
(z9,49)
(z7,33)
(z0,59)
Waiting...
[(i4,5)]
[(p5,14)]
Waiting...
[(h1,61)]
[(i4,5)]
[(m2,53)]
(a1,62)
(a4,57)
(a6,97)
(a7,71)
(a2,95)
(a8,3)
(a5,63)
(a0,71)
(a3,85)
(b8,23)
(b0,16)
(b6,77)
(b4,2)
(b5,11)
(b9,20)
(b7,88)
(c1,97)
(c7,69)
(c6,95)
(c2,30)
(c9,67)
(d3,7)
(d6,50)
(d2,18)
(d4,23)
(d1,2)
(d0,60)
(d9,86)
(e6,50)
(e4,49)
(e9,4)
(e0,86)
(e8,23)
(e3,42)
(f9,46)
(f1,88)
(f4,95)
(f8,6)
(f3,83)
(f0,19)
(f6,67)
(f2,35)
(f7,22)
(g6,45)
(g2,11)
(g8,28)
(g0,18)
(g5,56)
(g9,34)
(g4,99)
(g3,2)
(h8,34)
(h0,1)
(h4,48)
(h9,27)
(h5,19)
(h2,89)
(h3,31)
(h1,61)
(h7,51)
(h6,46)
(i3,31)
