Waiting...
[(r4,69)]
(a1,58)
(a4,76)
(a6,80)
(a9,39)
(a7,13)
(b5,7)
(b8,73)
(b3,7)
(b2,49)
(b9,42)
(b6,1)
(c9,51)
(c6,36)
(c5,18)
(c1,87)
(c0,10)
(c4,77)
(c7,63)
(d4,7)
(d6,23)
(d1,15)
(d2,76)
(d7,96)
(d5,88)
(d3,47)
(d0,53)
(e9,6)
(e0,32)
(e6,47)
(e2,8)
(e8,10)
(e5,49)
(e4,68)
(e7,16)
(f0,15)
(f2,93)
(f4,32)
(f3,40)
(f5,99)
(f6,51)
(f9,80)
(f8,28)
(f1,48)
(f7,5)
(g1,35)
(g7,4)
(g3,91)
(g8,61)
(g9,61)
(g0,35)
(g6,34)
(g4,67)
(g5,66)
(h9,99)
(h0,64)
(h8,22)
(h4,50)
(h3,4)
(h7,30)
(i3,27)
(i7,41)
(i6,83)
(i9,1)
(i5,45)
(i4,56)
(i2,0)
(i8,69)
(j2,66)
(j7,74)
(j0,95)
(j9,10)
(j3,65)
(j1,45)
(j5,5)
(k3,20)
(k5,5)
(k4,78)
(k7,55)
(k6,10)
(k9,75)
(l7,39)
(l8,73)
(l5,59)
(l4,17)
(l9,67)
(l1,8)
(l3,97)
(l6,97)
(l0,91)
(l2,16)
(m6,75)
(m1,89)
(m8,20)
(m7,61)
(m5,72)
(m0,93)
(m2,37)
(m3,13)
(n5,24)
(n3,3)
(n7,72)
(o0,71)
(o9,61)
(o3,9)
(o2,89)
(o8,10)
(o6,69)
(o7,56)
(o5,76)
(p1,74)
(p8,42)
(p9,13)
(p6,38)
(p5,60)
(p0,12)
(p3,88)
(p4,98)
(p7,29)
(q8,74)
(q0,78)
(q9,61)
(q6,63)
(q2,8)
(q3,49)
(r5,84)
(r4,69)
(r2,27)
(r3,0)
(r9,49)
(r8,96)
(r6,74)
(r0,79)
(s2,87)
(s3,79)
(s4,80)
(s1,85)
(s9,69)
(s8,59)
(s6,68)
(t0,51)
(t7,44)
(t1,21)
(t3,9)
(t4,71)
(t9,85)
(t2,0)
(t6,37)
(t8,3)
(t5,84)
(u0,30)
(u8,19)
(u6,20)
(u4,62)
(u9,2)
(u1,95)
(u3,21)
(u2,23)
(u5,64)
(u7,42)
(v7,19)
(v2,54)
(v0,8)
(v4,50)
(v8,38)
(v9,57)
(v6,47)
(w4,87)
(w8,14)
(w5,90)
(w0,90)
(w2,83)
(w7,80)
(w1,8)
(w9,75)
(x8,23)
(x3,75)
(x9,84)
(x7,37)
(x2,22)
(y2,6)
(y3,51)
(y7,12)
(y6,0)
(y1,95)
(z8,67)
(z3,43)
(z2,5)
(z0,5)
(z4,92)
(z9,97)
(z1,36)
Waiting...
[(q3,12)]
Waiting...
[(q3,12)]
(a3,87)
(a1,58)
(a4,76)
(a6,80)
(a9,39)
(a7,13)
(b5,7)
(b8,73)
(b3,7)
(b2,49)
(b9,42)
(b6,1)
(c9,51)
(c6,36)
(c5,18)
(c0,10)
(c4,77)
(c7,63)
(d4,71)
(d6,23)
(d1,15)
(d2,76)
(d7,96)
(d5,88)
(d3,47)
(d0,53)
(e9,6)
(e0,32)
(e6,47)
(e2,8)
(e8,10)
(e5,49)
(e4,68)
(e7,16)
(f0,15)
(f2,93)
(f4,32)
(f3,40)
(f5,99)
(f6,51)
(f9,80)
(f8,28)
(f1,48)
(f7,5)
(g1,35)
(g7,4)
(g3,91)
(g8,61)
(g9,61)
(g0,35)
(g6,34)
(g4,67)
(g5,66)
(h9,99)
(h0,51)
(h8,22)
(h4,50)
(h3,4)
(h7,70)
(i3,27)
(i7,41)
(i6,83)
(i9,1)
(i5,45)
(i4,56)
(i2,0)
(i8,69)
(j2,66)
(j7,74)
(j0,95)
(j9,10)
(j3,65)
(j1,45)
(j5,5)
(k3,20)
(k5,14)
(k4,78)
(k7,55)
(k9,75)
(l7,39)
(l8,73)
(l5,59)
(l4,17)
(l9,67)
(l1,8)
(l3,97)
(l6,97)
(l0,91)
(l2,16)
(m6,75)
(m1,89)
(m8,20)
(m7,61)
(m5,72)
(m0,93)
(m2,37)
(m3,13)
(n5,24)
(n3,3)
(n7,72)
(o0,71)
(o9,61)
(o3,9)
(o2,89)
(o8,10)
(o6,69)
(o7,56)
(o5,76)
(p1,74)
(p8,42)
(p9,13)
(p6,38)
(p5,60)
(p0,12)
(p3,88)
(p4,98)
(p7,29)
(q8,74)
(q0,78)
(q9,61)
(q6,63)
(q2,8)
(q3,12)
(r5,84)
(r2,27)
(r3,0)
(r9,49)
(r8,96)
(r6,74)
(r0,79)
(s2,87)
(s3,79)
(s4,80)
(s1,85)
(s9,69)
(s8,59)
(s6,68)
(t0,29)
(t7,44)
(t1,21)
(t3,9)
(t4,71)
(t9,85)
(t2,0)
(t6,37)
(t8,3)
(t5,84)
(u0,30)
(u8,19)
(u6,20)
(u4,62)
(u9,2)
(u1,95)
(u3,21)
(u2,23)
(u5,64)
(u7,42)
(v7,19)
(v2,54)
(v0,8)
(v4,50)
(v8,38)
(v9,57)
(v6,47)
(w4,87)
(w8,14)
(w5,90)
(w0,90)
(w2,83)
(w7,80)
(w1,8)
(x8,23)
(x3,56)
(x9,84)
(x7,37)
(x2,22)
(y2,6)
(y3,51)
(y7,12)
(y6,0)
(y1,95)
(z8,67)
(z3,43)
(z2,5)
