Waiting...
[(v6,12)]
(a7,63)
(a6,84)
(a9,12)
(a2,95)
(a8,73)
(a5,63)
(a0,63)
(a3,8)
(a1,37)
(b2,30)
(b4,2)
(b5,82)
(b9,25)
(b3,84)
(b0,64)
(b7,37)
(c8,10)
(c2,71)
(c7,79)
(c1,63)
(c5,95)
(c9,33)
(c4,7)
(d6,99)
(d3,28)
(d5,34)
(d1,45)
(d8,2)
(d0,0)
(d2,55)
(d9,86)
(e6,47)
(e1,50)
(e0,22)
(e4,47)
(e2,20)
(e8,54)
(e3,13)
(e5,41)
(f6,100)
(f2,43)
(f9,95)
(f7,7)
(f1,92)
(g2,36)
(g6,14)
(g8,69)
(g0,67)
(g5,78)
(g7,100)
(g9,30)
(g4,48)
(g3,60)
(h8,34)
(h4,89)
(h9,27)
(h5,53)
(h2,45)
(h3,58)
(h1,49)
(h7,61)
(h6,28)
(i1,2)
(i5,98)
(i3,91)
(i6,74)
(i4,55)
(i0,13)
(i7,3)
(i8,62)
(i9,84)
(j3,12)
(j6,27)
(j7,85)
(j0,3)
(j2,30)
(j5,62)
(k4,34)
(k9,60)
(k1,44)
(k6,49)
(k5,47)
(k2,54)
(l0,23)
(l4,44)
(l6,90)
(l7,6)
(l3,76)
(l9,16)
(l5,88)
(m9,15)
(m3,75)
(m0,34)
(m4,10)
(m6,13)
(m8,11)
(m2,37)
(n5,52)
(n8,7)
(n6,88)
(n4,85)
(n0,43)
(n7,60)
(o0,19)
(o1,31)
(o6,12)
(o9,96)
(o2,14)
(o7,0)
(o4,19)
(o8,92)
(p3,13)
(p0,10)
(p9,18)
(p5,26)
(p8,34)
(q6,5)
(q8,1)
(q7,30)
(q3,0)
(q1,47)
(q0,55)
(q5,90)
(q2,31)
(r5,76)
(r1,80)
(r8,49)
(r3,37)
(r9,40)
(r4,12)
(r2,37)
(r7,33)
(r0,48)
(s3,70)
(s1,56)
(s4,60)
(s0,14)
(s6,33)
(s7,4)
(s5,20)
(t0,26)
(t3,60)
(t9,85)
(t1,44)
(t5,51)
(t6,85)
(t8,86)
(u7,79)
(u3,48)
(u8,86)
(u6,20)
(u1,61)
(u4,60)
(u5,99)
(v8,3)
(v0,2)
(v7,73)
(v4,91)
(v1,13)
(w7,53)
(w9,1)
(w1,14)
(w3,13)
(w8,7)
(w5,65)
(w4,91)
(w6,10)
(x0,13)
(x6,41)
(x1,81)
(x9,86)
(x3,2)
(y9,71)
(y2,7)
(y4,51)
(y0,11)
(y3,29)
(y6,87)
(z5,73)
(z2,60)
(z3,59)
(z1,35)
(z9,98)
(z7,51)
(z8,38)
(z6,84)
(z0,96)
(a7,63)
(a6,84)
(a9,12)
(a2,95)
(a8,73)
(a5,63)
(a0,63)
(a3,8)
(a1,37)
(b2,30)
(b4,2)
(b5,82)
(b9,25)
(b3,84)
(b0,64)
(b7,37)
(c8,10)
(c2,71)
(c7,79)
(c1,63)
(c5,95)
(c9,33)
(c4,7)
(d6,99)
(d3,28)
(d5,34)
(d1,45)
(d8,2)
(d0,0)
(d2,55)
(d9,86)
(e6,47)
(e1,50)
(e0,22)
(e4,47)
(e2,20)
(e8,54)
(e3,13)
(e5,41)
(f6,100)
(f2,43)
(f9,95)
(f7,7)
(f1,92)
(g2,36)
(g6,14)
(g8,69)
(g0,67)
(g5,78)
(g7,100)
(g9,30)
(g4,48)
(g3,60)
(h8,34)
(h4,89)
(h9,27)
(h5,53)
(h2,45)
(h3,58)
(h1,49)
(h7,61)
(h6,28)
(i1,2)
(i5,98)
(i3,91)
(i6,74)
(i4,55)
(i0,13)
(i7,3)
(i8,62)
(i9,84)
(j3,12)
(j6,27)
(j7,85)
(j0,3)
(j2,30)
(j5,62)
(k4,34)
(k9,60)
(k1,44)
(k6,49)
(k5,47)
(k2,54)
(l0,23)
(l4,44)
(l6,90)
(l7,6)
(l3,76)
(l9,16)
(l5,88)
(m9,15)
(m3,75)
(m0,34)
(m4,10)
(m6,13)
(m8,11)
(m2,37)
(n5,52)
(n8,7)
(n6,88)
(n4,85)
(n0,43)
(n7,60)
(o0,19)
(o1,31)
(o6,12)
(o9,96)
(o2,14)
(o7,0)
(o4,19)
(o8,92)
(p3,13)
(p0,10)
(p9,18)
(p5,26)
(p8,34)
(q6,5)
(q8,1)
(q7,30)
(q3,0)
(q1,47)
(q0,55)
(q5,90)
(q2,31)
(r5,76)
(r1,80)
(r8,49)
(r3,37)
(r9,40)
(r4,12)
(r2,37)
(r7,33)
(r0,48)
(s3,70)
(s1,56)
(s4,60)
(s0,14)
(s6,33)
(s7,4)
(s5,20)
(t0,26)
(t3,60)
(t9,85)
(t1,44)
(t5,51)
(t6,85)
(t8,86)
(u7,79)
(u3,48)
(u8,86)
(u6,20)
(u1,61)
(u4,60)
(u5,99)
(v8,3)
(v0,2)
(v7,73)
(v4,91)
(v1,13)
(w7,53)
(w9,1)
(w1,14)
(w3,13)
(w8,7)
(w5,65)
(w4,91)
(w6,10)
(x0,13)
(x6,41)
(x1,81)
(x9,86)
(x3,2)
(y9,71)
(y2,7)
(y4,51)
(y0,11)
(y3,29)
(y6,87)
(z5,73)
(z2,60)
(z3,59)
(z1,35)
(z9,98)
(z7,51)
(z8,38)
(z6,84)
(z0,96)
(a7,63)
(a6,84)
(a9,12)
(a2,95)
(a8,73)
(a5,63)
(a0,63)
(a3,8)
(a1,37)
(b2,30)
(b4,2)
(b5,82)
(b9,25)
(b3,84)
(b0,64)
(b7,37)
(c2,71)
(c7,79)
(c1,63)
(c5,95)
(c9,33)
(c4,7)
(d6,99)
(d3,28)
(d5,34)
(d1,60)
(d8,2)
(d0,0)
(d2,55)
(d9,86)
(e6,47)
(e1,50)
(e0,22)
(e4,47)
(e2,20)
(e8,54)
(e3,13)
(e5,41)
(f6,100)
(f2,43)
(f9,28)
(f7,7)
(f1,92)
(g2,36)
(g6,14)
(g8,69)
(g0,67)
(g5,78)
(g7,100)
(g9,30)
(g4,48)
(g3,60)
(h8,34)
(h4,89)
(h9,27)
(h5,53)
(h2,45)
(h3,58)
(h1,49)
(h7,61)
(h6,28)
(i1,2)
(i5,98)
(i3,91)
(i6,74)
(i4,55)
(i0,13)
(i7,3)
