[(t1,5)]
(a4,56)
(a6,82)
(a5,3)
(a2,79)
(a3,30)
(a1,58)
(a9,32)
(a7,85)
(b0,38)
(b7,6)
(b6,88)
(b4,55)
(b5,54)
(b8,73)
(b2,52)
(c3,6)
(c2,1)
(c7,77)
(c9,76)
(c8,88)
(c5,12)
(c6,36)
(c4,67)
(d1,98)
(d3,61)
(d8,50)
(d6,90)
(d9,43)
(d5,88)
(d0,15)
(e6,13)
(e4,81)
(e1,14)
(e9,43)
(e0,38)
(e5,28)
(e7,54)
(f6,16)
(f8,53)
(f5,94)
(f0,47)
(f2,38)
(f9,62)
(f7,5)
(g7,1)
(g2,47)
(g4,43)
(g3,72)
(g8,44)
(g6,34)
(h1,97)
(h5,39)
(h4,70)
(h2,61)
(h6,5)
(h9,81)
(h7,73)
(i3,32)
(i7,76)
(i1,34)
(i0,53)
(i9,98)
(i4,99)
(i8,59)
(j2,6)
(j7,45)
(j4,12)
(j0,34)
(j9,76)
(j3,65)
(j1,45)
(k2,84)
(k4,44)
(k9,27)
(k1,37)
(k8,7)
(k6,5)
(k3,84)
(k5,96)
(k7,50)
(l7,0)
(l3,88)
(l6,20)
(l5,59)
(l9,70)
(l0,96)
(m0,45)
(m4,81)
(m1,39)
(m9,41)
(m6,14)
(m8,1)
(m7,25)
(m5,36)
(m2,75)
(m3,13)
(n6,42)
(n2,45)
(n1,46)
(n4,74)
(n0,60)
(n8,32)
(n9,20)
(n5,26)
(o6,42)
(o0,16)
(o5,94)
(o4,80)
(o1,37)
(o3,70)
(o8,30)
(o7,56)
(p7,8)
(p2,13)
(p4,20)
(p9,0)
(p6,26)
(p5,93)
(p0,74)
(q2,40)
(q1,63)
(q3,99)
(q0,6)
(q9,4)
(r9,94)
(r3,87)
(r4,21)
(r6,64)
(r8,99)
(r2,81)
(r7,54)
(r1,37)
(r0,27)
(s5,71)
(s2,50)
(s9,6)
(s7,50)
(s4,49)
(s0,74)
(s3,82)
(s1,78)
(s8,33)
(t5,85)
(t0,51)
(t6,17)
(t9,73)
(t3,91)
(t7,45)
(t1,5)
(t4,22)
(u5,79)
(u7,43)
(u3,80)
(u6,32)
(u0,84)
(u8,19)
(u4,59)
(u9,8)
(u1,30)
(u2,41)
(v8,4)
(v7,35)
(v6,6)
(v4,91)
(v9,4)
(w7,47)
(w9,30)
(w4,49)
(w0,88)
(w2,73)
(w1,16)
(x1,9)
(x3,49)
(x8,12)
(x9,99)
(x7,51)
(y6,64)
(y8,62)
(y4,61)
(y5,27)
(y0,95)
(y9,89)
(y2,77)
(y3,7)
(y7,9)
(y1,75)
(z6,84)
(z3,14)
(z4,96)
(z8,23)
(z7,57)
(z5,85)
(z2,32)
(z0,16)
(z1,36)
[(f7,13)]
[(h1,97)]
[(g3,72)]
(a4,56)
(a6,82)
(a5,3)
(a2,79)
(a3,30)
(a1,58)
(a9,32)
(a7,85)
(b0,38)
(b7,6)
(b6,88)
(b4,55)
(b5,54)
(b8,73)
(b2,52)
(c3,6)
(c2,1)
(c7,46)
(c9,76)
(c8,88)
(c5,12)
(c6,36)
(c4,67)
(d1,98)
(d3,61)
(d8,50)
(d6,90)
(d9,43)
(d5,88)
(d0,15)
(e6,13)
(e4,81)
(e1,14)
(e9,43)
(e0,38)
(e5,28)
(e7,54)
(f6,16)
(f8,53)
(f5,94)
(f0,47)
(f2,38)
(f9,62)
(f7,13)
(g2,47)
(g4,43)
(g3,72)
(g8,44)
(g6,34)
(h1,97)
(h5,39)
(h4,70)
(h2,61)
(h6,5)
(h9,81)
(i3,32)
(i7,76)
(i1,34)
(i0,53)
(i9,98)
(i4,99)
(i8,59)
(j2,6)
(j7,45)
(j4,12)
(j0,34)
(j9,76)
(j3,65)
(j1,45)
(k2,84)
(k4,44)
(k9,27)
(k1,37)
(k8,7)
(k6,5)
(k3,84)
(k5,96)
(k7,50)
(l7,0)
(l3,88)
(l6,20)
(l5,59)
(l9,70)
(l0,96)
(m0,45)
(m4,81)
(m1,39)
(m9,41)
(m6,14)
(m8,1)
(m7,25)
(m5,36)
(m2,75)
(m3,13)
(n6,42)
(n2,45)
(n1,46)
(n4,74)
(n0,60)
(n8,32)
(n9,20)
(n5,26)
(o6,42)
(o0,16)
(o5,95)
(o4,80)
(o1,37)
(o3,70)
(o8,30)
(o7,56)
(p7,8)
(p2,13)
(p4,20)
(p9,0)
(p6,26)
(p5,93)
(p0,74)
(q2,40)
(q1,63)
(q0,6)
(q9,4)
(r9,94)
(r3,87)
(r4,21)
(r6,64)
(r8,99)
(r2,81)
(r7,54)
(r1,37)
(r0,27)
(s5,71)
(s2,50)
(s9,6)
(s7,50)
(s4,49)
(s0,74)
(s3,82)
(s1,78)
(s8,33)
(t5,85)
(t0,51)
(t6,17)
(t9,73)
(t3,91)
(t7,45)
(t1,5)
(t4,22)
(u5,79)
(u7,43)
(u3,80)
(u6,32)
(u0,84)
(u8,19)
(u4,59)
(u9,8)
(u1,30)
(u2,50)
(v8,4)
(v7,35)
(v6,6)
(v4,91)
(v9,4)
(w7,47)
(w9,30)
(w4,49)
(w0,88)
(w2,73)
(w1,16)
(x1,9)
(x3,49)
(x8,12)
(x9,99)
(x7,51)
(y6,64)
(y8,62)
(y4,61)
(y0,95)
(y9,89)
(y2,77)
(y7,9)
(y1,75)
(z6,84)
(z3,14)
(z4,96)
(z8,23)
(z7,57)
(z5,85)
(z2,32)
(z0,16)
(z1,36)
Waiting...
